id,species,length,weight,movement_tick_interval,bite_check_interval,is_trophy,trophy_name,trophy_title,notes
1,rainbow_trout,11.71,0.681,16.0,2.92,False,,,
2,rainbow_trout,10.12,0.379,8.5,5.0,False,,,
3,rainbow_trout,12.46,0.91,6.1,2.68,False,,,
4,rainbow_trout,10.64,0.51,28.6,13.64,False,,,
5,rainbow_trout,11.38,0.658,43.3,4.06,False,,,
6,rainbow_trout,15.18,1.639,29.1,13.71,False,,,
7,rainbow_trout,6.76,0.126,20.1,6.77,False,,,
8,rainbow_trout,9.07,0.287,28.1,2.97,False,,,
9,rainbow_trout,13.28,1.035,9.0,3.46,False,,,
10,rainbow_trout,10.73,0.562,13.4,3.35,False,,,
11,rainbow_trout,10.36,0.436,11.8,10.63,False,,,
12,rainbow_trout,7.61,0.221,30.6,6.85,False,,,
13,rainbow_trout,13.91,1.023,14.2,2.0,False,,,
14,rainbow_trout,11.85,0.754,42.7,8.7,False,,,
15,rainbow_trout,13.9,1.104,15.6,3.15,False,,,
16,rainbow_trout,11.79,0.779,40.9,4.74,False,,,
17,rainbow_trout,14.39,1.279,8.6,2.0,False,,,
18,rainbow_trout,9.53,0.335,21.9,2.0,False,,,
19,rainbow_trout,14.45,1.295,43.8,10.37,False,,,
20,rainbow_trout,10.47,0.486,30.6,2.0,False,,,
21,rainbow_trout,7.25,0.173,40.0,3.31,False,,,
22,rainbow_trout,13.91,1.343,39.8,3.66,False,,,
23,rainbow_trout,11.11,0.572,35.5,6.57,False,,,
24,rainbow_trout,11.93,0.73,18.0,2.0,False,,,
25,rainbow_trout,14.73,1.231,17.3,2.0,False,,,
26,rainbow_trout,12.8,0.892,24.4,2.0,False,,,
27,rainbow_trout,12.1,0.731,24.0,6.73,False,,,
28,rainbow_trout,13.46,0.985,13.5,6.57,False,,,
29,rainbow_trout,12.52,0.9,44.8,8.58,False,,,
30,rainbow_trout,10.99,0.568,14.0,4.07,False,,,
31,rainbow_trout,12.18,0.82,7.8,8.18,False,,,
32,rainbow_trout,15.28,1.399,7.8,3.06,False,,,
33,rainbow_trout,12.24,0.821,42.4,7.08,False,,,
34,rainbow_trout,12.78,0.771,12.6,2.0,False,,,
35,rainbow_trout,10.01,0.449,34.2,9.11,False,,,
36,rainbow_trout,13.65,1.146,18.6,2.6,False,,,
37,rainbow_trout,10.57,0.524,15.0,2.0,False,,,
38,rainbow_trout,14.71,1.122,42.1,5.8,False,,,
39,rainbow_trout,11.43,0.653,20.2,12.63,False,,,
40,rainbow_trout,7.55,0.203,44.8,6.83,False,,,
41,rainbow_trout,12.94,0.985,43.7,7.22,False,,,
42,rainbow_trout,11.99,0.721,28.4,6.04,False,,,
43,rainbow_trout,14.8,1.63,8.2,2.56,False,,,
44,rainbow_trout,11.34,0.594,9.8,7.48,False,,,
45,rainbow_trout,9.69,0.411,25.9,10.24,False,,,
46,rainbow_trout,9.63,0.412,17.0,3.84,False,,,
47,rainbow_trout,13.99,1.223,44.9,2.82,False,,,
48,rainbow_trout,15.77,1.573,40.2,4.41,False,,,
49,rainbow_trout,13.57,0.958,29.5,2.0,False,,,
50,rainbow_trout,11.1,0.654,42.6,2.05,False,,,
51,rainbow_trout,25.9,7.8,20.0,8.0,True,Scruffy the Cleanly,the Cleanly,He's got a moustache!
52,brown_trout,23.2,6.2,25.0,7.0,True,Sally the Civilized,the Civilized,She's beautiful!
53,brook_trout,22.2,6.0,45.0,10.0,True,Old Smokey the Wise,the Wise,Look at those spots!
